id,name,status_name,type_name,agency_name,age,date_of_birth,date_of_death,nationality__nationality_name
168,Oleg Kononenko,Active,Government,Russian Federal Space Agency (ROSCOSMOS),61.0,1964-06-21,,
217,Gennady Padalka,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),67.0,1958-06-21,,
190,Yuri Malenchenko,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),63.0,1961-12-22,,
174,Sergei Krikalev,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),67.0,1958-08-27,,
160,Aleksandr Kaleri,Active,Government,Russian Federal Space Agency (ROSCOSMOS),69.0,1956-05-13,,
65,Sergei Avdeyev,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),69.0,1956-01-01,,
252,Anton Shkaplerov,Active,Government,Russian Federal Space Agency (ROSCOSMOS),53.0,1972-02-20,,
513,Peggy Whitson,Active,Private,Axiom Space,65.0,1960-02-09,,
224,Valeri Polyakov,Deceased,Government,Russian Federal Space Agency (ROSCOSMOS),80.0,1942-04-27,2022-09-19,
294,Fyodor Yurchikhin,Active,Government,Russian Federal Space Agency (ROSCOSMOS),66.0,1959-01-03,,
257,Anatoly Solovyev,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),77.0,1948-01-16,,
537,Sunita Williams,Active,Government,National Aeronautics and Space Administration,59.0,1965-09-19,,
216,Aleksey Ovchinin,Active,Government,Russian Federal Space Agency (ROSCOSMOS),53.0,1971-09-28,,
505,Donald Pettit,Active,Government,National Aeronautics and Space Administration,70.0,1955-04-20,,
584,Sergey Prokopyev,Active,Government,Russian Federal Space Agency (ROSCOSMOS),50.0,1975-02-19,,
17,Oleg Artemyev,Active,Government,Russian Federal Space Agency (ROSCOSMOS),54.0,1970-12-28,,
56,Viktor Afanasyev,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),76.0,1948-12-31,,
274,Yury Usachov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),67.0,1957-10-09,,
282,Sergey Aleksandrovich Volkov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),52.0,1973-04-01,,
278,Pavel Vinogradov,Active,Government,Russian Federal Space Agency (ROSCOSMOS),72.0,1953-08-31,,
256,Aleksandr Skvortsov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),59.0,1966-05-06,,
212,Oleg Novitskiy,Active,Government,Russian Federal Space Agency (ROSCOSMOS),53.0,1971-10-12,,
195,Musa Manarov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),74.0,1951-03-22,,
255,Oleg Skripochka,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),55.0,1969-12-24,,
514,Jeffrey Williams,Active,Government,National Aeronautics and Space Administration,67.0,1958-01-18,,
273,Mikhail Tyurin,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),65.0,1960-03-02,,
171,Oleg Kotov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),59.0,1965-10-27,,
567,Mark T. Vande Hei,Active,Government,National Aeronautics and Space Administration,58.0,1966-11-10,,
489,Scott Kelly,Retired,Government,National Aeronautics and Space Administration,61.0,1964-02-21,,
169,Mikhail Kornienko,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),65.0,1960-04-15,,
585,Sergey Ryzhikov,Active,Government,Russian Federal Space Agency (ROSCOSMOS),51.0,1974-08-19,,
285,Koichi Wakata,Active,Government,Japan Aerospace Exploration Agency,62.0,1963-08-01,,
277,Aleksandr Viktorenko,Deceased,Government,Russian Federal Space Agency (ROSCOSMOS),76.0,1947-03-29,2023-08-10,
154,Anatoli Ivanishin,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),56.0,1969-01-15,,
543,Barry E. Wilmore,Retired,Government,National Aeronautics and Space Administration,62.0,1962-12-29,,
544,Michael Barratt,Active,Government,National Aeronautics and Space Administration,66.0,1959-04-16,,
83,Nikolai Budarin,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),62.0,1963-04-29,,
234,Yury Romanenko,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),81.0,1944-08-01,,
646,Ivan Vagner,Active,Government,Russian Federal Space Agency (ROSCOSMOS),40.0,1985-07-10,,
500,Edward Michael Fincke,Active,Government,National Aeronautics and Space Administration,58.0,1967-03-14,,
1,Thomas Pesquet,Active,Government,European Space Agency,47.0,1978-02-27,,
